DIRECCION;Kts
360;7.02
360;4.86
340;4.86
320;4.86
140;12.96
140;16.74
140;17.82
140;19.98
140;12.96
160;12.96
160;27
200;12.96
200;19.98
230;19.98
200;15.12
230;19.98
230;19.98
200;14.04
200;12.96
200;14.04
200;16.2
230;5.94
250;10.8
110;5.94
360;10.8
340;12.96
320;12.96
320;14.04
270;11.88
270;11.88
290;12.96
290;8.1
270;16.2
270;19.98
290;22.14
320;25.92
290;23.22
290;16.74
290;19.98
290;21.06
290;16.2
290;22.14
270;22.14
270;24.84
270;23.22
270;22.14
270;25.92
270;24.84
290;17.82
290;12.96
320;11.88
320;11.88
340;15.12
320;19.98
340;17.82
360;19.98
340;19.98
360;22.14
360;23.76
360;28.08
360;27
360;24.84
320;30.24
320;34.02
320;32.94
320;37.26
290;35.1
320;37.8
320;35.1
320;37.8
320;35.1
320;31.86
320;27
270;27
270;24.84
290;23.22
290;21.06
270;15.12
270;15.12
270;16.74
270;16.74
270;15.12
290;17.82
290;21.06
270;21.06
270;18.9
270;17.82
270;16.74
270;17.82
270;18.9
270;23.22
270;23.76
270;21.06
270;23.22
270;22.14
270;25.92
270;27
290;25.92
290;27
270;23.76
270;22.14
270;22.14
270;19.98
250;16.74
270;16.74
270;19.98
270;19.98
270;23.22
270;21.06
270;18.9
250;23.76
270;17.82
270;18.9
270;19.98
270;23.22
270;23.22
270;23.22
270;21.06
270;17.82
270;23.22
270;25.92
270;23.22
270;21.06
270;23.76
270;21.06
270;22.14
270;23.22
270;18.9
270;22.14
270;22.14
270;22.14
270;24.84
270;21.06
270;19.98
270;19.98
270;21.06
270;23.76
270;22.14
270;23.76
270;22.14
270;22.14
270;19.98
270;19.98
270;16.74
270;12.96
270;12.96
340;4.86
320;8.1
270;10.8
290;15.12
270;10.26
270;10.26
270;8.1
250;4.86
270;7.02
270;12.96
270;19.98
270;16.2
270;15.12
290;18.9
290;16.2
290;11.88
360;11.88
360;11.88
290;17.82
340;16.74
270;19.98
270;12.96
270;9.18
